Title,Identifier,Creators,Supervisors,Lang,Subjects,SubjectsVDP,Date,Institute,FacultyShort,FacultyLong,InstituteShort,InstituteLong,MasterProg,LangNorm
Forståelser av funksjonshemming i et idéhistorisk perspektiv : en tekstanalyse av politiske dokumenter fra (1894-1921) og (1945-1968),https://hdl.handle.net/10642/1047,"Henrichsen, Gina Fraas",,nb,Funksjonshemming|Historie|Idehistorie|Politikk|Forståelse,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Fysikalsk medisin og rehabilitering: 764|VDP::Medisinske Fag: 700::Helsefag: 800,2011,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
"Omsorg, hverdagsliv og tvang: Tjenesteyteres erfaring av å arbeide med tjenestemottakere med vedtak etter lov om kommunale helse- og omsorgstjenester kapittel 9. Besvart.",https://hdl.handle.net/10642/8539,"Sarwar, Osman","Solvang, Per Koren",nb,Psykisk utviklingshemming|Tvang|Makt|Rettssikkerhet|Kunnskap|Kompetanse|Utdanningskrav|Selvbestemmelse,,2019,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
"Brukermedvirkning i psykiske helsetjenester,- en myte eller en realitet? Opplevelse av innflytelse på egen behandling hos brukere av psykiske helsetjenester- en kvalitativ studie",https://hdl.handle.net/10642/8540,"Pettersen, Anne V.","Brottveit, Gudrun",nb,Brukermedvirkning|Psykisk helsetjeneste|Psykiske lidelser,,2019,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
"""Men jeg kan jo støvsuge..."" : en kvalitativ studie om endring av arbeidsvaner og bevisstgjøring av energibesparende arbeidsmetoder for personer med KOLS.",https://hdl.handle.net/10642/556,"Sundfør, Ingrid Elise","Heggdal, Kristin",nb,Kronisk obstruktiv lungesykdom|KOLS|Aktiviteter i dagliglivet|ADL|ADL trening|Ergoterapi|Mestring|Fenomenologi,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Fysikalsk medisin og rehabilitering: 764,2010,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Medhold eller ikke? : en kvalitativ dokumentanalyse av fylkesmennenes begrunnelser når de gir medhold eller ikke i klager på avlastning,https://hdl.handle.net/10642/1262,"Kylland, Hege","Langaas, Anne",nb,Avlastning|Sosiale tjenester|Skjønn|Klager|Klageinstans|Vedtak|Beslutninger|Likebehandlingsprinsippet|Individualiseringsprinsippet,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Fysikalsk medisin og rehabilitering: 764|VDP::Medisinske Fag: 700::Helsefag: 800::Helsetjeneste- og helseadministrasjonsforskning: 806,2012,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Barn med cerebral parese og deltagelse i hverdagsaktiviteter - med oppmerksomheten rettet mot aktiviteter som krever bruk av hender. En kvalitativ studie.,https://hdl.handle.net/10642/2129,"Sandberg, Cathrine Utne","Fallang, Bjørg",nb,Barn|Cerebral parese,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Nevrologi: 752|VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Andre pedagogiske fag: 289,2014,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Å ikke miste seg selv: Krefter mot kreft i treningsfellesskap med likemenn,https://hdl.handle.net/10642/8592,"Amundsen, Ingvild Vernum","Løndal, Knut",nb,Androgen deprivasjonsterapi|Prostatakreft|Rehabilitering|Treningsgrupper|Erfaring|Selvbestemmelsesteori|Sosial kognitiv teori,,2018,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Rehabilitation in a municipal setting: A qualitative study of occupational therapists’ contribution to acquired brain injury rehabilitation,https://hdl.handle.net/10642/8589,"Gregersen, Helle","Solvang, Per Koren",en,Municipality|Occupational therapist|Acquired brain injury|Rehabilitation|Interprofessional collaboration,,2018,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,eng
Pårørendes roller i rehabilitering : en kvalitativ studie,https://hdl.handle.net/10642/1261,"Langedal, Eileen","Feiring, Marte",nb,Rehabilitering|Eldre|Pårørende|Familier|Omsorgsgivere|Roller|Samhandling,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Fysikalsk medisin og rehabilitering: 764,2012,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Samliv med brukerstyrt personlig assistanse: En kvalitativ studie av hvordan par erfarer å ha brukerstyrt personlig assistanse i sitt hjem og hvilken betydning assistansen har for hverdag og samliv,https://hdl.handle.net/10642/8542,"Balteskard, Vera","Solvang, Per Koren",nb,"Brukerstyrt personlig assistanse|Samliv|Hjem|Intimitet|Hverdagsliv|Privatliv|User-led personal assistance|Couples,|Home|Intimacy,|Everyday life|Privacy",,2019,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Hendene på ryggen: Sykepleierens erfaringer med rehabiliteringsarbeidet i kommunal sektor,https://hdl.handle.net/10642/8538,"Fjell, Linn Therese Middelthun","Groven, Karen Synne",nb,Rehabilitering|Sykepleie|Målsetting|Eldre|Sykehjem|Egenomsorg,,2019,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Klart hun skal få spise det hun vi: Et prosjekt om mat og måltider i bofellesskap,https://hdl.handle.net/10642/8957,"Askeli, Ina Susanne","Rugseth, Gro",nb,Utviklingshemming|Overvekt|Fedme|Bofellesskap|Vernepleier|Helsefagarbeider|Kosthold|Ernæring,,2020,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Å møte en helt ny verden. Minoritetsforeldres opplevelser av å ha et barn med nedsatt funksjonsevne : en kvalitativ studie,https://hdl.handle.net/10642/1837,"Tjønneland, Aud Eva","Feiring, Marte",nb,Minoritetsforeldre|Funksjonshemming|Minoriteter|Grounded theory|Nedsatte funksjonsevner,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Fysikalsk medisin og rehabilitering: 764|VDP::Medisinske Fag: 700::Helsefag: 800,2013,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
"(Re)habilitering som definisjon: Ei analyse av innspel frå styresmakter, fagprofesjonelle og brukarar til ny definisjon i Forskrift for habilitering og rehabilitering",https://hdl.handle.net/10642/8955,"Flatland, Eli","Koren, Per Solvang",nn,Rehabilitering|Habilitering|Brukermedvirkning|Brukarmedverknad|Høringsprosessen,,2020,HV - Master i Rehabilitering og habilitering,HV,Fakultet for helsefag,FYS,Institutt for fysioterapi,Master i Rehabilitering og habilitering,nor
Vitamin D-status - en studie blant friske unge kvinner og menn bosatt i Oslo omegn,https://hdl.handle.net/10642/741,"Hansen, Kari Tande","Ottestad, Inger|Ulven, Stine Marie",nb,Vitamin D|Omega-3|Helseeffekter|Ernæring|Helse|Oslo|Kosthold,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2010,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Elevers vurdering av matmiljø og fysisk miljø på skolen, og hvilke muligheter og barrierer dette utgjør for et sunt kosthold og fysisk aktivitet: En kvalitativ studie på elever i 9. klasse i Øvre Romerike",https://hdl.handle.net/10642/3365,"Gjertsen, Marianne","Terragni, Laura|Torheim, Liv Elin",nb,Kosthold|Matvaner|Fysisk aktivitet|Ungdommer|Sosio-økologisk modell|Skolemåltider,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Breastfeeding practices among Saharawi women in the Algerian refugee camps,https://hdl.handle.net/10642/1771,"Lerseth, Marie Steffensen","Henjum, Sigrun|Aakre, Inger",en,Breastfeeding|Malnutrition|Prelacteal feeding|Stunting|Diarrhoea|Refugees|Nutrition,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2013,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Hvilke reklameslagord for presumptivt sunne og usunne produkter foretrekker skoleelever?,https://hdl.handle.net/10642/1001,"Hansen, Inga-Linn N.","Pettersen, Kjell Sverre",nb,Reklame|Helse|Kosthold|Mat|Påvirkning|Ungdommer,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Gratis frukt og grønsaker i skulen: eit tilbod som fremjar helse og sosial samhandling?,https://hdl.handle.net/10642/720,"Tokvam, Gry","Smehaugen, Anne|Møllen, Kari S.",nn,Ungdomsskoler|Frukt|Grønnsaker|Helsefremmende arbeid|Samhandling|Ernæring|Helse|Miljøfag,VDP::Social science: 200::Education: 280|VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2009,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Osteoporose : forebygging og risikofaktorer: Har siste års sykepleierstudenter kunnskap om risikofaktorene for osteoporose og om hvordan primær osteoporose kan forebygges?,https://hdl.handle.net/10642/726,"Nestegård, Gina Kathrine","Rao, Nima|Bye, Asta",nb,Osteoporose|Benskjørhet|Forebygging,VDP::Medical disciplines: 700::Health sciences: 800::Preventive medicine: 804,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Improving fruit and vegetable intake among Norwegian first graders through reinforcement, modelling, and peer advice: A feasibility study",https://hdl.handle.net/10642/5166,"Haakens, Magnus","Pettersen, Kjell Sverre|Strømgren, Børge",en,Reinforcement|Modelling|Fruit|Vegetables|Intervention|School|Children,,2017,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
"Deltakere i kostveiledning sine opplevelser av barrierer, sosial støtte, self-efficacy og nutrition literacy for oppnåelse av vektreduksjon.",https://hdl.handle.net/10642/5429,"Schwaiger, Eireen Linge","Pettersen, Kjell Sverre",nb,Overvekt|Fedme|Kostveiledning|Ernæring|Atferdsendring|Sosial støtte|Mestring|Nutrition literacy|Overweight|Behavioural change,,2017,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
En evaluering av hvordan helsemyndigheter i utvalgte land utvikler og formidler kostråd som omhandler frukt og grønnsaker til barn,https://hdl.handle.net/10642/1504,"Andersskog, Turi Øystese","Yngve, Agneta",nb,Kostråd|Kosthold|Barn|Frukt|Grønnsaker,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2013,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
The development and evaluation of a bread baking intervention,https://hdl.handle.net/10642/1191,"Jensen, Line","Bere, Elling",en,Brødbaking|Fysisk aktivitet|Bread baking|Sedentary behaviour|Stillesittende atferd,,2012,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Bioaktive fytokjemikalier i fullkorn: En systematisk oversiktartikkel,https://hdl.handle.net/10642/3671,"Bieniek, Daniel","Brevik, Asgeir",nb,Antioksidanter|Fenoler|Korn|Fytokjemikalier|Bioaktive|Kosthold,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Sosiale utfordringer blant vegetarianere og veganere i Norge: Opplevelser og strategier,https://hdl.handle.net/11250/2770740,"Årstad, Henriette Marie Schultz|Pedersen, Julia Tsuruta","Morseth, Marianne|Bugge, Annechen Bahr",nb,Vegetarianere|Veganere|Opplevelser|Strategier|Sosiale utfordringer,,2021,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Fagopplæring av renholdere skal sikre yrkesfaglig kompetanse,https://hdl.handle.net/10642/1088,"Fretheim, Ellen Petrine","Boge, Knut",nb,Fagopplæring|Renholdsfag|Yrkesfaglig kompetanse,VDP::Samfunnsvitenskap: 200::Pedagogiske fag: 280::Fagdidaktikk: 283,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Consumption of ultra-processed foods in Norway – an  investigation of food sales in 2013 and 2019: A repeated  cross-sectional analysis,https://hdl.handle.net/11250/2770666,"Bjøntegaard, Marie Michaelsen","Torheim, Liv Elin|Molin, Marianne",en,Ultra-processed foods|Obesity|Non-communicable diseases,,2021,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Dokumentasjon av ernæringsrelatert informasjon – granskning av pasientjournaler til eldre i ernæringsmessig risiko,https://hdl.handle.net/10642/6152,"Gaustadnes, Lisa Mari|Høyem, Mari Hval","Bye, Asta|Molin, Marianne",nb,Eldre|Dokumentasjon|Ernæringsrelatert informasjon|Ernæring|Risiko|Journalgranskningsskjemaer|Pasientjournaler|Eldre,,2018,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Retten til fullgod mat ved sykehjem: En menneskerettighetsbasert tilnærming til personalets muligheter og utfordringer ved realisering av denne rettigheten for beboerne,https://hdl.handle.net/10642/721,"Karlsen, Elisabeth Irene","Terragni, Laura|Eide, Wenche Barth|Iversen, Per Ole",nb,Kosthold|Ernæring|Mattilbud|Sykehjem,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811|VDP::Medical disciplines: 700::Health sciences: 800::Health service and health administration research: 806,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Are ovo-lacto-pesco-vegetarians and vegans  risk groups for suboptimal iodine intake? Iodine intake and status in a group of Norwegian vegetarians,https://hdl.handle.net/10642/3342,"Johansen, Nina Cathrine","Brantsæter, Anne Lise|Henjum, Sigrun",en,Iodine|Vegetarians|Vegans|Nutrition|Jodmangel|Vegetarianere|Veganere|Plant based diet,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Hva mener myndiggjorte medarbeidere kjennetegner det gode møte mellom pasient og helsearbeider?,https://hdl.handle.net/10642/723,"Bernhart, Ørjan","Onstad, Ragnhild Flittie|Tveiten, Sidsel",nb,Empowerment|Pasienter|Myndiggjøring|Brukermedvirkning|Kommunikasjon|Helsepersonell,VDP::Medical disciplines: 700::Health sciences: 800::Nursing science: 808,2010,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Nutrition literacy: utvikling og utprøving av et spørreskjema som måler grader av nutrition literacy,https://hdl.handle.net/10642/739,"Kjøllesdal, Johanne Gran","Pettersen, Sverre|Mosdøl, Annhild",nb,Ernæringskunnskap|Ernæringsfremmende allmenndannelse|Nutrition Literacy Questionnaire|NLQ,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2009,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Infant feeding practices among mothers with and without HIV in Western Cape, South Africa",https://hdl.handle.net/10642/1190,"Nordstrand, Møyfrid Elin","Yngve, Agneta|Torheim, Liv Elin",en,Infant feeding|Nutrition|HIV|Human immunodeficiency virus|Spedbarn,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2012,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Omega-3 index og friske individer - en randomisert kontrollert studie,https://hdl.handle.net/10642/749,"Sundstøl, Anne-Kristin","Ottestad, Inger",nb,Kostholdsstudier|Omega-3|Ernæring|Helse,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2010,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Utvikling av kultur- og språksensitivt tekstinnhold til den fremtidige appen Samtale om mat på helsestasjon-2: En kvalitativt utforskende studie basert på Suitability Assessment of Materials,https://hdl.handle.net/10642/7466,"Henningsgård, Vilde","Torheim, Liv Elin|Grewal K., Navnit",nb,Kultursensitivitet|Helsefremmende allmenndannelse|SOMAH2|Amming|Suitability assessment of materials|Veiledning|SOMAH2-app|Mat,,2019,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Norske soldaters personlighetstype, ernæringskompetanse og treningsaktivitet – en pilotstudie",https://hdl.handle.net/10642/7470,"Spets, Linn Susanne","Pettersen, Kjell Sverre|Stenberg, Pål Harald",nb,Ernæring|Kosthold|Trening|Prestasjoner|Forsvaret|Nutrition Literacy|Ernæringskompetanse,,2019,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
School children’s participation in a free school meal scheme: Experiences from a pilot project in the Oslo school.,https://hdl.handle.net/11250/2770754,"Mauer, Sandra","Torheim, Liv Elin (hovedveileder)|Terragni, Laura (biveileder)",en,School meal programs|Schools|Nutrition|Pupils|Children|Adolescents,,2021,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
En kvalitativ studie om forsvarsfamilien og forsvarets familiepolitikk i forbindelse med skarpe operasjoner i utlandet,https://hdl.handle.net/10642/740,"Knutsen, Gøril B.","Smehaugen, Anne",nb,Forsvaret|Familiepolitikk,VDP::Social science: 200,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Safeguarding the right to adequate food in disaster preparedness and emergency response: Policy, legislation and institutions in Uganda",https://hdl.handle.net/10642/1505,"Ribe, Lovise Omoijuanfo","Oshaug, Arne|Rukundo, Peter Milton",en,Uganda|Right to food|Nutrition|Human rights|Menneskerettigheter,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2013,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
"Hvordan gikk det med kostholdsendringene? Erfaringer fra tidligere deltagere på et livsstilsendringskurs, en kvalitativ studie.",https://hdl.handle.net/10642/751,"Rustad, Hanne Hennig","Terragni, Laura",nb,Kosthold|Livsstil,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Kroppsbildet til flyktninger i Vest-Sahara relatert til prevalens av overvekt og fedme blant kvinner og menn,https://hdl.handle.net/10642/2641,"Claudius, Hanne Marit","Hussain, Aysha",nb,Kroppsbilde|Kroppsideal|Overvekt|Selvbilde|Flyktninger|Vest-Sahara|Kvinner|Fedme|Menn,,2015,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Iodine status in pregnant women in Norway,https://hdl.handle.net/10642/5215,"Borthne, Sandra","Henjum, Sigrun|Brantsæter, Anne Lise",en,Iodine Status|Pregnancy|Iodine Deficiency|Iodine Intake|Urinary Iodine concentration|Urinary Iodine excretion,,2017,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Har sosiodemografiske- og økonomiske faktorer sammenheng med frekvens av kjøttinntak blant den norske befolkning,https://hdl.handle.net/10642/8011,"Hanssen, Tabine","Kjærnes, Unni|Parr, Christine Louise",nb,Bærekraft|Kosthold|Helse|Kjøttkonsum|Kjøttinntak|Miljø|Samfunnsøkonomiske faktorer|Norge,,2019,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Kartlegging og evaluering av det fysiske aktivitetsnivået til Saharawiske flyktninger i Algerie,https://hdl.handle.net/10642/3394,"Kjellså, Ida","Andersen, Eivind|Jahanlu, David",nb,Fysisk aktivitet|Saharawi|Aktivitet|Flyktninger|Algerie|MVPA|Overvekt,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Hva karakteriser kunder som ofte handler økologiske matvarer i NorgesGruppens butikker?,https://hdl.handle.net/10642/3673,"Fagervik, Stine Olsen","Pettersen, Kjell Sverre",nb,Økologi|Holdninger|Matvareindustri|Helse|Dyrevelferd|Miljø|Matvarer|Økologiske,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
En kvalitativ studie om deltakere i en kostintervensjonsstudie og deres holdninger til og erfaring med fisk i livsløpet,https://hdl.handle.net/10642/3461,"Rosendal, Henriette Riis","Terragni, Laura|Ulven, Stine Marie|Holven, Kirsten B.",nb,Livsløp|Matvalg|Kostintervensjon|Semi-strukturert intervju|Fisk,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
The effectiveness of a low-carbohydrate diet in management of type 2 diabetes - A systematic review of the current literature,https://hdl.handle.net/10642/2051,"Haugen, Henny-Kristine","Aas, Anne-Marie|Pettersen, Kjell Sverre",en,Blood Pressure|Cholesterol HDL|Cholesterol LDL|Diabetes Mellitus type 2|Diet|Low carbohydrate,,2014,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Nutrition literacy hos sykepleierstudenter,https://hdl.handle.net/10642/744,"Dalane, Jorån Østerholt","Pettersen, Kjell Sverre",nn,Ernæring|Nutrition literacy|Kosthold|Kunnskap|Sykepleierstudenter,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811,2011,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Factors associated with maintenance of a healthy diet in weight reduction program participants,https://hdl.handle.net/10642/1192,"Borge, Tiril Cecilie","Garnweidner, Lisa|Pettersen, Kjell Sverre",en,Obesity|Nutrition literacy|Weight loss|Lifestyle change|Fedme|Ernæring|Livsstilsendring,VDP::Medisinske Fag: 700::Helsefag: 800::Ernæring: 811,2012,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
"Understanding infant feeding practices, relations to the health clinic and experiences of receiving conflicting advices: A qualitative study with Somali mothers living in Oslo",https://hdl.handle.net/10642/2053,"Lyngstad, Julianne","Terragni, Laura|de Paoli, Marina",en,Somali mothers|Immigrant|Infant feeding|Information|Qualitative  interviews,,2014,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Prediktorer av skolefruktinntak hos elever ved ”helsefremmende skoler” i Østfold.,https://hdl.handle.net/10642/3212,"Hauge, Ida Marie","Pettersen, Kjell Sverre",nb,Skolefrukt|Grønnsaker|Frukt|Bær|Nutrition literacy|Ernæringskunnskap|Tester|Skoler,,2016,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
To what degree are Norwegian parents aware of the relationship between meat consumption and greenhouse gases?,https://hdl.handle.net/10642/8884,"Daugstad, Siv Hege Iversen","Parr, Christine (hovedveileder)|Bere, Elling (biveileder)",en,Sustainability|Meat|Climate change|Greenhous gas emissions|Mitigation options|Consumers|Knowledge|Awareness|Bærekraft|Kjøtt|Klimaendringer|Forbrukere|Kunnskap|Bevissthet|Klimagasser,,2020,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
Helsefremmende arbeid i skjæringspunktet mellom ernæringspolitikk og utdanningspolitikk: dekker Kunnskapsløftets læreplaner for helsearbeiderfaget samfunnets behov for kompetanse innen fagfeltet kosthold og ernæring?,https://hdl.handle.net/10642/738,"Andersen, Elizabeth","Smehaugen, Anne|Bergsli, Oddhilf",nb,Kunnskapsløftet|Læreplaner|Helsearbeiderfaget|Utdanningspolitikk|Ernæringspolitikk|Kosthold,VDP::Medical disciplines: 700::Health sciences: 800::Nutrition: 811|VDP::Social science: 200::Education: 280,2010,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
Kosthold og matsikkerhet blant asylsøkere på asylmottak i Norge,https://hdl.handle.net/10642/6714,"Mauno, Dawid Tadeusz","Terragni, Laura|Henjum, Sigrun",nb,Kosthold|Matsikkerhet|Asylsøkere|Asylmottak|Norge|Dietary intake|Food security|Asylum seekers|Asylum reception centres|Norway,,2018,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Praksis og holdninger rundt kosthold og ernæring blant ansatte i barnevernsinstitusjoner, og ungdommenes medvirkning og deltagelse i måltidene: En kvalitativ studie",https://hdl.handle.net/11250/2770690,"Gananathan, Siyamali","Terragni, Laura",nb,Barnevernsinstitusjoner|Ungdommer|Måltider|Medvirkning,,2021,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,nor
"Dietary intake and consumption of plant-based substitutes in vegans, vegetarians and pescatarians in Norway",https://hdl.handle.net/11250/2770750,"Tonheim, Live Edvarsen","Henjum, Sigrun",en,Vegetarian|Vegan|Pescatarian|Dietary intake|Macronutrients|Micronutrients|Norway,,2021,HV - Master i Samfunnsernæring,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Samfunnsernæring,eng
